x,y,name
282.2,272.0,tri2tu
289.0,271.5,tri2tu
298.0,266.1,tri2tu
297.6,262.0,hirttr
292.5,276.2,guazul
289.6,295.0,termam
280.9,283.1,tripcu
289.3,302.6,tab2ar
281.4,313.9,ficuob
296.5,314.4,tet2pa
288.0,339.1,poutre
287.7,342.1,cordla
292.7,348.8,protte
284.5,367.2,jac1co
280.4,368.5,jac1co
298.8,404.2,quaras
298.1,404.6,alsebl
298.3,416.3,diptpa
280.9,441.0,tab1gu
285.1,445.2,eugene
280.9,450.3,dendar
283.4,454.0,jac1co
287.3,451.1,quaras
288.3,460.3,jac1co
294.7,468.7,jac1co
297.7,472.7,cecrin
281.9,494.7,cecrin
286.4,480.2,cecrin
298.7,499.8,jac1co
278.3,477.3,protte
269.0,469.0,tri2pa
267.1,473.0,loncla
265.9,457.5,beilpe
272.3,453.4,casear
270.8,455.2,dendar
278.4,426.5,poutre
269.6,404.5,cecrin
268.3,401.2,jac1co
262.2,394.4,aspicr
262.5,379.5,poutre
276.2,394.0,quaras
265.7,378.2,diptpa
268.8,375.2,pla1pi
273.5,370.3,jac1co
266.8,374.0,tab2ar
273.1,367.9,quaras
260.6,369.0,tri2tu
260.5,352.3,alchco
270.7,346.6,guazul
270.0,353.6,hirttr
273.7,357.7,jac1co
279.0,347.7,quaras
276.3,342.9,casear
274.1,335.3,hirttr
274.2,314.1,luehse
276.0,301.7,calolo
262.2,308.0,sch1zo
268.3,296.8,sterap
263.8,281.5,sponmo
278.6,296.6,tripcu
260.7,273.0,brosal
270.2,266.8,tri2tu
278.8,267.8,termam
276.3,261.7,cassel
274.5,257.8,tri2tu
273.2,249.6,ocotce
267.6,224.3,alsebl
269.3,227.7,tet2pa
269.8,222.8,tet2pa
275.8,213.0,tab2ar
276.5,207.9,tet2pa
265.2,214.1,loncla
260.5,214.7,brosal
261.1,208.1,tab1gu
279.5,189.4,alsebl
275.5,184.2,tet2pa
268.1,180.8,virose
268.3,189.6,lindla
274.8,179.0,tet2pa
277.6,175.8,alsebl
273.8,161.6,tri2tu
269.4,164.0,tri2tu
268.3,166.0,tri2tu
266.1,164.0,huracr
266.3,175.8,tri2tu
262.3,178.2,brosal
276.1,152.7,alsebl
269.5,151.1,pri2co
273.0,142.8,heisco
267.5,127.1,swars1
270.1,116.0,pri2co
260.3,99.6,guargu
261.0,80.6,guargu
261.2,86.6,chr2ar
276.7,50.9,tet2pa
278.4,42.2,drypst
273.9,43.2,quaras
267.2,54.0,pri2co
266.8,56.0,sloate
261.5,55.1,quaras
263.0,48.5,pri2co
265.4,41.0,apeime
273.5,32.8,tri2tu
273.2,28.0,quaras
273.9,22.9,pri2co
266.3,24.7,alchco
264.3,29.8,cordbi
276.8,36.5,alsebl
262.2,7.5,quaras
274.1,12.4,pri2co
273.8,7.5,anacex
278.8,9.1,tri2tu
253.8,5.1,alchco
253.9,12.8,alchco
259.0,14.2,casear
245.5,15.4,alchco
245.9,12.0,alchco
243.7,12.9,jac1co
243.1,11.5,jac1co
246.0,9.3,cordbi
248.0,24.3,alchco
248.2,27.1,poular
250.8,27.3,jac1co
253.0,24.4,casear
257.4,22.1,simaam
258.5,24.2,alchco
242.5,39.0,quaras
244.0,44.1,tri2tu
251.2,55.2,cordbi
241.0,57.8,pri2co
246.9,68.8,pri2co
244.1,66.4,gustsu
246.1,77.3,quaras
249.1,76.5,tri2tu
255.4,76.7,poutre
252.2,79.4,tri2tu
254.1,85.5,tri2tu
250.1,85.8,tri2tu
244.4,82.0,tri2tu
240.5,89.5,alsebl
253.5,94.7,jac1co
255.4,90.5,tri2tu
254.6,98.5,tri2tu
243.2,122.6,alchco
255.5,138.0,hirttr
256.8,137.1,guargu
260.3,126.0,swars2
259.1,147.6,tachve
254.2,148.0,luehse
249.5,154.2,tab2ar
244.7,143.5,pla2el
244.7,147.8,quaras
252.6,157.7,alsebl
254.0,163.8,swars1
242.4,162.7,virosu
245.5,171.1,sloate
244.8,184.8,pri2co
256.8,196.9,quaras
244.0,201.5,tab1gu
253.3,205.4,tet2pa
247.4,211.5,pri2co
245.1,215.5,tri2tu
242.5,210.4,tri2tu
257.6,220.3,alsebl
251.8,220.4,tri2tu
255.2,230.3,sch1zo
258.8,239.7,tab1ro
242.5,250.8,luehse
257.5,269.5,tab1ro
246.6,283.7,sch1zo
240.4,284.0,hirttr
254.8,285.6,tab1ro
248.3,323.5,sch1zo
256.4,323.6,tab2ar
257.0,335.8,sponmo
244.6,339.0,guargu
256.8,349.0,tab2ar
255.9,379.2,virose
246.2,388.9,beilpe
245.2,381.0,tab1gu
254.7,414.3,tri2tu
240.6,417.5,beilpe
244.8,414.5,cordbi
240.7,425.5,tri2tu
254.5,438.0,tri2tu
243.7,453.9,pla2el
249.2,470.1,brosal
255.6,484.8,unonpi
258.0,497.0,gustsu
230.8,499.7,cedrod
224.7,460.1,jac1co
227.6,456.1,alsebl
223.8,441.6,cordbi
221.0,448.3,tri2tu
222.0,438.8,beilpe
224.5,421.7,casear
228.6,408.8,cordbi
230.6,403.3,alsebl
222.5,382.8,alsebl
232.5,385.1,cassel
232.1,380.2,tri2tu
236.3,391.0,alsebl
231.7,374.4,quaras
233.7,371.6,tri2tu
235.2,370.1,guargu
239.9,378.7,tet2pa
224.9,369.2,virose
222.1,370.7,lindla
220.1,375.9,guatdu
221.0,368.2,tab2ar
220.1,361.2,pla2el
222.8,361.2,virose
237.6,358.2,gustsu
234.4,358.6,alchco
224.6,356.1,tab2ar
237.9,343.6,loncla
238.1,338.9,termam
224.2,338.8,tab2ar
230.5,319.4,hirttr
234.6,319.3,cordbi
220.1,303.5,tab2ar
226.0,284.8,tab2ar
231.5,294.7,lindla
221.9,299.1,tri2tu
238.5,277.4,poutre
232.6,268.9,chr2ar
229.3,266.5,guapst
234.3,252.6,gustsu
233.8,232.7,pla2el
230.7,230.2,gustsu
238.9,216.1,gustsu
229.3,196.8,pri2co
221.1,178.5,alsebl
225.3,161.2,ade1tr
235.7,164.2,pri2co
221.9,150.9,alsebl
235.2,152.2,quaras
235.5,154.2,tri2tu
236.5,144.4,gustsu
236.0,140.7,quaras
221.2,136.5,pri2co
237.2,124.5,cordbi
238.9,126.6,loncla
223.5,107.5,alchco
222.0,101.5,pri2co
230.2,109.2,quaras
231.5,112.2,alsebl
234.2,108.1,guapst
238.0,109.3,casear
238.2,100.3,alsebl
227.1,88.6,alsebl
235.4,87.6,tri2tu
220.5,85.5,brosal
221.1,75.6,alsebl
227.3,79.7,guargr
231.0,66.2,tab2ar
229.7,62.3,pri2co
