x,y,boh,name
2.77,129.03,26,pterro
2.8,10.3,20,calolo
2.8,38.9,14,hybapr
2.8,175.3,37,faraoc
2.8,183.7,-1,alsebl
2.8,257.4,20,alsebl
2.8,288.45,10,calolo
2.8,295.4,33,gar2ma
2.8,368.5,76,pri2co
2.8,413.3,36,faraoc
2.8,422.6,19,maquco
2.8,456.5,170,alchco
2.8,490.3,46,perexa
2.81,146.04,15,protpa
2.88,117.05,15,protpa
2.9,93.7,29,hybapr
2.9,119.3,26,faraoc
2.9,181,12,gar2in
2.9,216.7,-1,alsebl
2.9,221,-1,des2pa
2.9,249.1,79,faraoc
2.9,251.9,19,tet2pa
2.9,315.4,20,gar2in
2.9,422.3,-1,pterro
2.9,428.67,12,mourmy
2.9,447.7,44,cassel
2.9,461.3,23,tab2ar
2.9,469.5,79,chr1ec
2.98,487.86,10,tet2pa
3,37.8,46,protpa
3,46.2,27,des2pa
3,96.8,27,hybapr
3,174.7,38,hirttr
3,179,25,hybapr
3,199.7,79,gar2in
3,210.4,75,socrex
3,224.8,-1,des2pa
3,273.3,24,gar2in
3,372.9,56,swars2
3,419.6,21,nectci
3,462.4,64,eugeco
3.03,401.4,10,calolo
3.05,186.56,17,hybapr
3.09,19.48,13,acaldi
3.1,49.5,37,faraoc
3.1,94.6,18,tab2ar
3.1,112.1,535,jac1co
3.1,120.8,-1,hybapr
3.1,124.4,-1,dio2ar
3.1,161.9,28,mourmy
3.1,164.3,-1,nectci
3.1,200.1,67,ingath
3.1,267.1,50,faraoc
3.1,267.5,20,mourmy
3.1,297,20,cassel
3.1,315.2,34,coccma
3.1,336.3,85,protte
3.1,372,56,faraoc
3.1,376.2,23,gar2in
3.1,381.8,49,des2pa
3.1,390.8,64,faraoc
3.1,484.4,15,hirttr
3.1,486.2,26,rinosy
3.1,496,28,swars2
3.12,19.05,14,acaldi
3.12,338.82,15,alsebl
3.12,459.69,13,gar2ma
3.18,248.83,22,calolo
3.19,274.14,12,tet2pa
3.2,53,64,pri2co
3.2,54.2,28,des2pa
3.2,115.6,32,geniam
3.2,124.8,-1,unonpi
3.2,125.6,12,calolo
3.2,209.9,31,loncla
3.2,263.1,57,herrpu
3.2,277,106,faraoc
3.2,296.8,25,protpa
3.2,324.6,22,calolo
3.2,336.9,-1,swars2
3.2,346.3,99,oenoma
3.2,397.9,15,faraoc
3.2,405.1,57,faraoc
3.26,53.91,36,protpa
3.3,7.5,37,tet2pa
3.3,93.7,35,virose
3.3,131.2,40,taline
3.3,184.8,370,tri2tu
3.3,197.1,15,alsebl
3.3,299.5,22,mourmy
3.3,301.6,58,cordla
3.3,350.8,17,eugega
3.3,369.5,16,tab2ar
3.3,484.8,-1,rinosy
3.3,490.3,33,swars2
3.31,129.75,22,protpa
3.31,185.58,11,hybapr
3.35,306.83,12,protte
3.38,285.95,33,pse1se
3.39,445.67,13,tet2pa
3.4,54.1,49,faraoc
3.4,148.6,58,faraoc
3.4,266.1,22,des2pa
3.4,336.3,23,faraoc
3.4,365.6,26,hybapr
3.4,422.4,31,protpa
3.4,443.5,29,protte
3.41,401.53,13,faraoc
3.41,456.48,23,picrla
3.45,241.4,14,des2pa
3.46,120.63,12,protpa
3.46,308.68,11,tet2pa
3.49,301.48,30,protpa
3.5,24.2,18,faraoc
3.5,25.5,119,poular
3.5,98,102,protte
3.5,119.7,14,hybapr
3.5,139.2,70,des2pa
3.5,154.4,58,faraoc
3.5,167.5,45,caseco
3.5,199,37,des2pa
3.5,250.3,18,hybapr
3.5,251.4,12,hybapr
3.5,254.1,61,pourbi
3.5,255.4,-1,hybapr
3.5,420.4,93,faraoc
3.5,448.6,49,hirttr
3.5,452,37,hirttr
3.53,127.24,26,mourmy
3.59,448.22,10,quaras
3.6,20.9,24,tri2tu
3.6,39.4,23,protte
3.6,119,22,des2pa
3.6,152.9,22,beilpe
3.6,192.9,27,alsebl
3.6,199.44,19,hybapr
3.6,206.6,96,tab2ar
3.6,295.6,95,cou2cu
3.6,407,56,swars2
3.6,442.4,92,unonpi
3.6,453.8,-1,guatdu
3.62,244.64,13,hybapr
3.63,126.97,17,hybapr
3.64,461.31,13,ingath
3.7,10.2,86,guarsp
3.7,29.2,28,pentma
3.7,30.4,60,brosal
3.7,63.9,40,tet2pa
3.7,64.6,46,protpa
