x,y,name
408.8,485.3,simaam
402.4,487.8,guargu
417.7,486.1,guargu
389.8,493.4,poutst
385.2,492.9,tri2tu
381.1,496.5,apeime
381.0,490.9,protco
397.4,482.0,cordbi
390.9,480.9,pterro
397.4,470.2,virose
399.5,466.1,tet2pa
386.6,461.9,cecrin
385.0,464.7,sponra
396.3,458.1,jac1co
399.6,441.0,gustsu
393.0,442.8,virose
384.5,449.7,tet2pa
382.4,433.1,sponra
389.8,436.0,lindla
388.4,439.5,simaam
395.9,439.4,tri2tu
392.2,428.5,virose
384.5,427.9,zantbe
380.3,421.3,cordbi
389.6,425.8,alsebl
396.5,428.3,coccco
399.9,416.1,termam
384.2,417.5,lindla
387.9,404.1,ficuc2
390.1,409.0,alsebl
394.6,410.3,hyeral
390.2,397.7,tri2tu
384.2,397.1,tri2tu
387.5,389.6,micoel
396.4,383.5,tri2tu
384.1,382.5,tri2tu
384.4,384.5,tri2pa
389.5,378.6,tri2tu
394.4,378.7,gustsu
393.0,371.8,apeime
388.6,373.1,tratas
381.5,362.6,tachve
380.3,379.7,poutre
395.0,359.8,poutre
389.8,359.0,tet2pa
393.5,354.2,tet2pa
393.4,348.9,hirttr
395.2,346.5,quaras
393.8,343.8,alsebl
391.3,342.6,ingafa
387.0,346.1,guapst
385.1,346.3,heisco
392.0,330.6,tri2tu
398.3,326.4,swars1
395.8,315.7,tri2tu
394.1,310.8,poutre
382.0,302.4,gustsu
388.5,302.3,poutst
391.8,303.8,gustsu
392.3,301.1,poutst
399.8,303.7,lacmpa
380.2,290.3,tri2tu
385.3,287.1,tri2tu
389.3,290.9,tri2tu
387.5,280.8,chr2ca
390.6,280.8,tri2tu
386.1,275.5,tet4jo
384.9,269.1,sponra
383.7,250.8,zuelgu
383.4,252.7,anacex
389.9,259.8,tri2tu
397.4,203.6,hyeral
398.4,198.8,poutre
389.9,191.2,alsebl
392.4,182.5,tri2tu
386.6,181.5,ast2gr
385.8,183.1,tri2tu
384.1,187.0,alsebl
383.8,189.1,quaras
387.5,178.6,tri2tu
