name,x,y
AGLABR,429.26,489.16
AGLABR,433.91,482.42
AGLABR,430.81,487.62
AGLABR,430.62,486.18
AGLABR,428.11,484.29
AGLABR,431.92,494.2
AGLABR,431.38,494.13
AGLABR,423.56,478.71
AGLABR,427.4,468.65
AGLABR,433.83,476.62
AGLABR,425.0,452.2
AGLABR,421.03,455.75
AGLABR,431.19,398.21
AGLABR,430.36,389.1
AGLABR,424.49,326.96
AGLABR,434.05,319.96
AGLABR,439.22,317.93
AGLABR,426.88,318.45
AGLABR,427.83,319.61
AGLABR,431.89,300.55
AGLABR,433.35,285.12
AGLABR,439.25,294.4
AGLABR,436.56,257.86
AGLABR,421.71,260.08
AGLABR,421.0,246.87
AGLABR,431.73,228.55
AGLABR,426.07,221.76
AGLABR,437.51,226.75
AGLABR,439.52,231.49
AGLABR,431.56,218.2
AGLABR,433.0,208.27
AGLABR,423.72,209.92
AGLABR,431.21,186.14
AGLABR,439.56,188.42
AGLABR,433.56,197.32
AGLABR,435.03,198.17
AGLABR,438.1,198.26
AGLABR,438.06,171.56
AGLABR,433.71,174.5
AGLABR,436.16,179.97
AGLABR,428.52,170.01
AGLABR,430.6,153.93
AGLABR,421.26,157.03
AGLABR,421.09,72.79
AGLABR,427.54,32.4
AGLABR,438.8,33.66
AGLABR,420.76,2.25
AGLABR,413.38,449.62
AGLABR,403.69,448.47
AGLABR,416.38,420.66
AGLABR,414.62,411.17
AGLABR,411.81,410.14
AGLABR,412.79,419.74
AGLABR,402.73,417.58
AGLABR,416.34,401.33
AGLABR,408.06,398.61
AGLABR,408.29,387.67
AGLABR,406.75,349.97
AGLABR,405.0,357.66
AGLABR,413.9,264.67
AGLABR,410.35,246.8
AGLABR,404.04,256.51
AGLABR,417.82,236.91
AGLABR,405.89,229.11
AGLABR,419.82,163.64
AGLABR,405.06,77.26
AGLABR,418.35,29.43
AGLABR,393.08,481.29
AGLABR,391.51,492.81
AGLABR,398.39,488.04
