name,x,y
ACTINI,533.81,172.79
ACTINI,524.24,148.74
ACTINI,532.62,139.3
ACTINI,533.35,120.7
ACTINI,523.71,112.66
ACTINI,529.68,44.51
ACTINI,532.38,10.48
ACTINI,520.77,8.75
ACTINI,531.43,4.77
ACTINI,519.48,456.85
ACTINI,502.67,448.95
ACTINI,504.87,457.88
ACTINI,513.6,431.71
ACTINI,503.69,380.73
ACTINI,518.36,376.09
ACTINI,505.68,317.53
ACTINI,517.16,225.63
ACTINI,510.59,200.86
ACTINI,518.3,175.12
ACTINI,516.32,179.92
ACTINI,501.01,170.28
ACTINI,515.87,117.68
ACTINI,515.98,114.34
ACTINI,508.54,118.42
ACTINI,500.83,37.85
ACTINI,493.8,450.17
ACTINI,497.6,438.57
ACTINI,499.55,407.11
ACTINI,495.63,418.3
ACTINI,491.94,419.32
ACTINI,492.1,418.92
ACTINI,492.08,373.42
ACTINI,484.49,362.68
ACTINI,481.61,350.54
ACTINI,499.07,183.56
ACTINI,481.59,96.7
ACTINI,499.14,73.85
ACTINI,484.41,33.82
ACTINI,495.57,26.89
ACTINI,497.77,14.25
ACTINI,498.46,14.02
ACTINI,492.06,4.3
ACTINI,469.83,494.15
ACTINI,463.63,456.75
ACTINI,461.64,431.94
ACTINI,467.96,426.05
ACTINI,466.01,406.85
ACTINI,474.47,366.39
ACTINI,465.98,370.83
ACTINI,461.23,330.13
ACTINI,463.04,319.93
ACTINI,479.2,162.26
ACTINI,475.39,138.89
ACTINI,464.59,132.14
ACTINI,466.24,118.58
ACTINI,469.24,99.08
ACTINI,478.65,89.81
ACTINI,478.44,89.99
ACTINI,470.63,18.57
ACTINI,472.86,16.25
ACTINI,472.15,14.7
ACTINI,458.84,481.17
ACTINI,457.24,489.85
ACTINI,456.81,468.9
ACTINI,441.48,472.95
ACTINI,448.25,469.31
ACTINI,453.28,469.72
ACTINI,457.96,469.66
ACTINI,453.0,449.5
ACTINI,452.08,259.51
ACTINI,457.06,259.24
ACTINI,458.93,175.46
ACTINI,456.41,94.56
ACTINI,454.47,76.41
ACTINI,444.58,18.06
ACTINI,425.51,493.72
ACTINI,420.84,409.66
ACTINI,422.61,406.25
ACTINI,420.71,402.9
ACTINI,424.3,363.34
ACTINI,423.92,253.16
ACTINI,420.9,250.57
ACTINI,438.85,237.58
ACTINI,423.49,226.36
ACTINI,437.8,222.09
ACTINI,438.99,166.32
ACTINI,435.51,156.91
ACTINI,437.0,160.16
ACTINI,429.78,67.6
ACTINI,425.87,23.46
ACTINI,421.0,12.83
ACTINI,402.5,498.67
ACTINI,416.01,465.76
ACTINI,415.14,422.85
ACTINI,413.13,367.5
ACTINI,410.79,274.24
ACTINI,405.68,243.53
